headword,pos,definition,examples,synonyms
afoot,adverb,on foot [adv.all],"they went to the village afoot | quail are hunted either afoot or on horseback | walking | ""they went to the village afoot"" | ""quail are hunted either afoot or on horseback""",
afresh,adverb,again but in a new or different way [adv.all],"start afresh | wanted to write the story anew | starting life anew in a fresh place | ""start afresh"" | ""wanted to write the story anew""",anew
aft,adverb,at or near or toward the stern of a ship or tail of an airplane [adv.all],"stow the luggage aft | ships with square sails sail fairly efficiently with the wind abaft | the captain looked astern to see what the fuss was about | ""stow the luggage aft"" | ""ships with square sails sail fairly efficiently with the wind abaft""","abaft, astern"
after,adverb,happening at a time subsequent to a reference time [adv.all] | behind or in the rear [adv.all],"he apologized subsequently | he's going to the store but he'll be back here later | it didn't happen until afterward | two hours after that | ""he apologized subsequently""","subsequently, later, afterwards, afterward, later on"
after a fashion,adverb,to some extent [adv.all],"he speaks French after a fashion | not very well | ""he speaks French after a fashion""",
after all,adverb,emphasizes something to be considered [adv.all] | in spite of expectations [adv.all],"after all, she is your boss, so invite her | he is, after all, our president | ""after all, she is your boss, so invite her"" | ""he is, after all, our president"" | came to the party after all",
after hours,adverb,not during regular hours [adv.all],"he often worked after hours | ""he often worked after hours""",
afterward,adverb,happening at a time subsequent to a reference time [adv.all],"he apologized subsequently | he's going to the store but he'll be back here later | it didn't happen until afterward | two hours after that | ""he apologized subsequently""","subsequently, later, afterwards, after, later on"
afterwards,adverb,happening at a time subsequent to a reference time [adv.all],"he apologized subsequently | he's going to the store but he'll be back here later | it didn't happen until afterward | two hours after that | ""he apologized subsequently""","subsequently, later, afterward, after, later on"
again,adverb,anew [adv.all],"she tried again | they rehearsed the scene again | ""she tried again"" | ""they rehearsed the scene again""","once again, once more, over again"
again and again,adverb,repeatedly [adv.all],"the unknown word turned up over and over again in the text | ""the unknown word turned up over and over again in the text""","over and over, over and over again, time and again, time and time again"
against the clock,adverb,as fast as possible [adv.all],"it was a race against the clock | before a deadline | ""it was a race against the clock""",against time
against the wind,adverb,in the direction opposite to the direction the wind is blowing [adv.all],"they flew upwind | ""they flew upwind""","upwind, into the wind"
against time,adverb,as fast as possible [adv.all],"it was a race against the clock | before a deadline | ""it was a race against the clock""",against the clock
aggravatingly,adverb,in an aggravating fashion [adv.all],"his hair was caught aggravatingly in the branches of the tree | ""his hair was caught aggravatingly in the branches of the tree""",
aggressively,adverb,in an aggressive manner [adv.all],"she was being sharply questioned | ""she was being sharply questioned""",sharply
agilely,adverb,in a nimble or agile manner [adv.all],"nimbly scaling an iron gate | leaped agilely from roof to roof | with quickness and lightness and ease | ""nimbly scaling an iron gate""- Charles Dickens | ""leaped agilely from roof to roof""",nimbly
ago,adverb,in the past [adv.all],"long ago | sixty years ago my grandfather came to the U.S. | ""long ago"" | ""sixty years ago my grandfather came to the U.S.""",
agonizingly,adverb,in a very painful manner [adv.all],"the progress was agonizingly slow | ""the progress was agonizingly slow""","excruciatingly, torturously"
agreeably,adverb,in an enjoyable manner [adv.all],"we spent a pleasantly lazy afternoon | ""we spent a pleasantly lazy afternoon""","pleasantly, enjoyably"
aground,adverb,with the bottom lodged on the ground [adv.all],"he ran the ship aground | ""he ran the ship aground""",
ahead,adverb,at or in the front [adv.all] | toward the future [adv.all] | in a forward direction [adv.all] | ahead of time [adv.all] | to a more advanced or advantageous position [adv.all] | to a different or a more advanced time (meaning advanced either toward the present or toward the future) [adv.all] | leading or ahead in a competition [adv.all],I see the lights of a town ahead | the road ahead is foggy | staring straight ahead | we couldn't see over the heads of the people in front | with the cross of Jesus marching on before,"in front, before, forward, onward, onwards, forwards, forrader, in advance, beforehand, out front, in the lead"
ahead of the game,adverb,in an advantageous position [adv.all],"she's ahead of the game | ""she's ahead of the game""",
ahead of time,adverb,before the usual time or the time expected [adv.all],"she graduated early | the house was completed ahead of time | ""she graduated early"" | ""the house was completed ahead of time""","early, too soon"
ahorse,adverb,on the back of a horse [adv.all],"he rode horseback to town | managed to escape ahorse | policeman patrolled the streets ahorseback | ""he rode horseback to town"" | ""managed to escape ahorse""","horseback, ahorseback"
ahorseback,adverb,on the back of a horse [adv.all],"he rode horseback to town | managed to escape ahorse | policeman patrolled the streets ahorseback | ""he rode horseback to town"" | ""managed to escape ahorse""","horseback, ahorse"
aimlessly,adverb,without aim [adv.all],"he wandered around aimlessly | in an aimless manner | ""he wandered around aimlessly""",
airily,adverb,in a flippant manner [adv.all],"he answered the reporters' questions flippantly | this cannot be airily explained to your children | ""he answered the reporters' questions flippantly"" | ""this cannot be airily explained to your children""",flippantly
akimbo,adverb,with hands on hips and elbows extending outward [adv.all],"she stood there akimbo | ""she stood there akimbo""",
alarmingly,adverb,in an alarming manner [adv.all],"It grew alarmingly fast | ""It grew alarmingly fast""",
alas,adverb,by bad luck [adv.all],"unfortunately it rained all day | alas, I cannot stay | ""unfortunately it rained all day"" | ""alas, I cannot stay""","unfortunately, unluckily, regrettably"
alee,adverb,on or toward the lee [adv.all],"put the helm alee | ""put the helm alee""",
alertly,adverb,in mentally perceptive and responsive way [adv.all],"she got through the day alertly, despite being on drugs | ""she got through the day alertly, despite being on drugs""",
alfresco,adverb,outside a building [adv.all],"in summer we play outside | ""in summer we play outside""","outside, outdoors, out of doors"
algebraically,adverb,in an algebraic manner [adv.all],"algebraically determined | ""algebraically determined""",
alias,adverb,as known or named at another time or place [adv.all],"Mr. Smith, alias Mr. Lafayette | ""Mr. Smith, alias Mr. Lafayette""","a.k.a., also known as"
alike,adverb,equally [adv.all] | in a like manner [adv.all],"parents and teachers alike demanded reforms | ""parents and teachers alike demanded reforms"" | they walk alike | ""they walk alike""",likewise
all,adverb,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly') [adv.all],he was wholly convinced | entirely satisfied with the meal | it was completely different from what we expected | was completely at fault | a totally new situation,"wholly, entirely, completely, totally, altogether, whole"
all along,adverb,all the time or over a period of time [adv.all],"She had known all along | the hope had been there all along | ""She had known all along"" | ""the hope had been there all along""",right along
all at once,adverb,all at the same time [adv.all] | without warning [adv.all],"Let's say `Yes!' all at once | ""Let's say `Yes!' all at once"" | all at once, he started shouting | ""all at once, he started shouting""","all together, all of a sudden"
all day long,adverb,during the entire day [adv.all],"light pours daylong into the parlor | ""light pours daylong into the parlor""",daylong
all in all,adverb,with everything considered (and neglecting details) [adv.all],"altogether, I'm sorry it happened | all in all, it's not so bad | ""altogether, I'm sorry it happened"" | ""all in all, it's not so bad""","on the whole, altogether, tout ensemble"
all of a sudden,adverb,without warning [adv.all] | happening unexpectedly [adv.all],"all at once, he started shouting | ""all at once, he started shouting"" | suddenly she felt a sharp pain in her side | ""suddenly she felt a sharp pain in her side""","all at once, suddenly, of a sudden"
all over,adverb,over the entire area [adv.all] | to or in any or all places [adv.all],"the wallpaper was covered all over with flowers | she ached all over | everything was dusted over with a fine layer of soot | ""the wallpaper was covered all over with flowers"" | ""she ached all over""","over, everywhere, everyplace"
all right,adverb,an expression of agreement normally occurring at the beginning of a sentence [adv.all] | without doubt (used to reinforce an assertion) [adv.all] | in a satisfactory or adequate manner [adv.all],"it's expensive all right | ""it's expensive all right"" | she'll do okay on her own | held up all right under pressure | ""she'll do okay on her own""","very well, fine, alright, OK, okay, O.K."
