headword,pos,definition,examples,synonyms
kissimmee,noun,a river of central Florida that flows southward to Lake Okeechobee [noun.object],,Kissimmee River
kissimmee river,noun,a river of central Florida that flows southward to Lake Okeechobee [noun.object],,Kissimmee
kissing,noun,affectionate play (or foreplay without contact with the genital organs) [noun.act],,"caressing, cuddling, fondling, hugging, necking, petting, smooching, snuggling"
kissing bug,noun,large bloodsucking bug [noun.animal],,"conenose, cone-nosed bug, conenose bug, big bedbug"
kissing cousin,noun,a more or less distant relative [noun.person],familiar enough to be greeted with a kiss,kissing kin
kissing disease,noun,an acute disease characterized by fever and swollen lymph nodes and an abnormal increase of mononuclear leucocytes or monocytes in the bloodstream [noun.state],not highly contagious | some believe it can be transmitted by kissing,"infectious mononucleosis, mononucleosis, mono, glandular fever"
kissing kin,noun,a more or less distant relative [noun.person],familiar enough to be greeted with a kiss,kissing cousin
kissinger,noun,United States diplomat who served under President Nixon and President Ford (born in 1923) [noun.person],,"Henry Kissinger, Henry Alfred Kissinger"
kisumu,noun,a port city in western Kenya on the northeastern shore of Lake Victoria [noun.location],fishing and trading center,
kiswahili,noun,a Bantu language [noun.communication],,
kit,noun,a case for containing a set of articles [noun.artifact] | gear consisting of a set of articles or tools for a specified purpose [noun.artifact] | young of any of various fur-bearing animals [noun.animal],"a fox kit | ""a fox kit""",outfit
kit bag,noun,a knapsack (usually for a soldier) [noun.artifact],,kitbag
kit carson,noun,United States frontiersman who guided Fremont's expeditions in the 1840s and served as a Union general in the American Civil War (1809-1868) [noun.person],,"Carson, Christopher Carson"
kit fox,noun,small grey fox of southwestern United States [noun.animal] | small grey fox of the plains of western North America [noun.animal],may be a subspecies of Vulpes velox,"Vulpes macrotis, prairie fox, Vulpes velox"
kitakyushu,noun,a Japanese city on northern Kyushu [noun.location],,
kitambilla,noun,a small shrubby spiny tree cultivated for its maroon-purple fruit with sweet purple pulp tasting like gooseberries [noun.plant] | maroon-purple gooseberry-like fruit of India having tart-sweet purple pulp used especially for preserves [noun.food],Sri Lanka and India,"ketembilla, kitembilla, ketembilla tree, Ceylon gooseberry, Dovyalis hebecarpa"
kitbag,noun,a knapsack (usually for a soldier) [noun.artifact],,kit bag
kitchen,noun,a room equipped for preparing meals [noun.artifact],,
kitchen appliance,noun,a home appliance used in preparing food [noun.artifact],,
kitchen cabinet,noun,an inner circle of unofficial advisors to the head of a government [noun.group],,brain trust
kitchen garden,noun,a small garden where vegetables are grown [noun.artifact],,"vegetable garden, vegetable patch"
kitchen help,noun,help hired to work in the kitchen [noun.person],,
kitchen island,noun,an unattached counter in a kitchen that permits access from all sides [noun.artifact],,
kitchen match,noun,a wooden friction match that will light on any granular surface [noun.artifact],useful to light wood or gas stoves,
kitchen midden,noun,(archeology) a mound of domestic refuse containing shells and animal bones marking the site of a prehistoric settlement [noun.location],,"eitchen midden, midden"
kitchen police,noun,an enlisted person who is assigned to assist the cooks [noun.person],,KP
kitchen range,noun,a kitchen appliance used for cooking food [noun.artifact],"dinner was already on the stove | ""dinner was already on the stove""","stove, kitchen stove, range, cooking stove"
kitchen sink,noun,a sink in a kitchen [noun.artifact],,
kitchen stove,noun,a kitchen appliance used for cooking food [noun.artifact],"dinner was already on the stove | ""dinner was already on the stove""","stove, range, kitchen range, cooking stove"
kitchen table,noun,a table in the kitchen [noun.artifact],,
kitchen utensil,noun,a utensil used in preparing food [noun.artifact],,
kitchener,noun,British field marshal (1850-1916) [noun.person],,"Herbert Kitchener, Horatio Herbert Kitchener, First Earl Kitchener of Khartoum"
kitchenette,noun,small kitchen [noun.artifact],,
kitchenware,noun,hardware utensils for use in a kitchen [noun.artifact],,
kite,noun,a bank check that has been fraudulently altered to increase its face value [noun.possession] | a bank check drawn on insufficient funds at another bank in order to take advantage of the float [noun.possession] | plaything consisting of a light frame covered with tissue paper [noun.artifact] | any of several small graceful hawks of the family Accipitridae having long pointed wings and feeding on insects and small animals [noun.animal],flown in wind at end of a string,
kite balloon,noun,a barrage balloon with lobes at one end that keep it headed into the wind [noun.artifact],,
kite tail,noun,a bob on a kite to provide balance [noun.artifact],,
kitembilla,noun,a small shrubby spiny tree cultivated for its maroon-purple fruit with sweet purple pulp tasting like gooseberries [noun.plant] | maroon-purple gooseberry-like fruit of India having tart-sweet purple pulp used especially for preserves [noun.food],Sri Lanka and India,"ketembilla, kitambilla, ketembilla tree, Ceylon gooseberry, Dovyalis hebecarpa"
kith,noun,your friends and acquaintances [noun.group],"all his kith and kin | ""all his kith and kin""",
kitsch,noun,excessively garish or sentimental art [noun.artifact],usually considered in bad taste,
kittee,noun,a form of torture used by American Indians in which sensitive parts of the body were squeezed between two boards until the victim could bear no more [noun.act],,
kitten,noun,young domestic cat [noun.animal],,kitty
kitten-tails,noun,a plant of the genus Besseya having fluffy spikes of flowers [noun.plant],,
kittiwake,noun,small pearl-grey gull of northern regions [noun.animal],nests on cliffs and has a rudimentary hind toe,
kittul,noun,fishtail palm of India to Malay Peninsula [noun.plant],sap yields a brown sugar (jaggery) and trunk pith yields sago,"wine palm, jaggery palm, kitul, kitul tree, toddy palm, Caryota urens"
kitty,noun,the combined stakes of the betters [noun.possession] | the cumulative amount involved in a game (such as poker) [noun.possession] | young domestic cat [noun.animal] | informal terms referring to a domestic cat [noun.animal],,"pool, pot, jackpot, kitten, kitty-cat, puss, pussy, pussycat"
kitty litter,noun,granulated clay [noun.substance],placed in a container where it absorbs the waste products of a cat or dog,
kitty-cat,noun,informal terms referring to a domestic cat [noun.animal],,"kitty, puss, pussy, pussycat"
kitul,noun,fishtail palm of India to Malay Peninsula [noun.plant],sap yields a brown sugar (jaggery) and trunk pith yields sago,"wine palm, jaggery palm, kittul, kitul tree, toddy palm, Caryota urens"
kitul tree,noun,fishtail palm of India to Malay Peninsula [noun.plant],sap yields a brown sugar (jaggery) and trunk pith yields sago,"wine palm, jaggery palm, kitul, kittul, toddy palm, Caryota urens"
kivu,noun,a lake in the mountains of central Africa between Congo and Rwanda [noun.object],,Lake Kivu
kiwi,noun,climbing vine native to China [noun.plant] | a native or inhabitant of New Zealand [noun.person] | fuzzy brown egg-shaped fruit with slightly tart green flesh [noun.food] | nocturnal flightless bird of New Zealand having a long neck and stout legs [noun.animal],cultivated in New Zealand for its fuzzy edible fruit with green meat | only surviving representative of the order Apterygiformes,"Chinese gooseberry, kiwi vine, Actinidia chinensis, Actinidia deliciosa, New Zealander, kiwi fruit, apteryx"
kiwi fruit,noun,fuzzy brown egg-shaped fruit with slightly tart green flesh [noun.food],,"kiwi, Chinese gooseberry"
kiwi vine,noun,climbing vine native to China [noun.plant],cultivated in New Zealand for its fuzzy edible fruit with green meat,"Chinese gooseberry, kiwi, Actinidia chinensis, Actinidia deliciosa"
kizil kum,noun,a desert in Uzbekistan to the southeast of the Aral Sea [noun.location],,"Kyzyl Kum, Qizil Qum"
kkk,noun,a secret society of white Southerners in the United States [noun.group],was formed in the 19th century to resist the emancipation of slaves | used terrorist tactics to suppress Black people,"Ku Klux Klan, Klan"
klaipeda,noun,a city in western Lithuania on the Baltic Sea [noun.location],formerly an important trading town of the Hanseatic League,Memel
klamath,noun,a river flowing southwest from Oregon through northern California to the Pacific Ocean [noun.object],,Klamath River
klamath falls,noun,a town in southern Oregon near the California border [noun.location],,
klamath river,noun,a river flowing southwest from Oregon through northern California to the Pacific Ocean [noun.object],,Klamath
klammath weed,noun,yellow-flowered perennial common in fields and waste places but a weed in rangelands [noun.plant],,Hypericum perforatum
klan,noun,a secret society of white Southerners in the United States [noun.group],was formed in the 19th century to resist the emancipation of slaves | used terrorist tactics to suppress Black people,"Ku Klux Klan, KKK"
klansman,noun,a member of the Ku Klux Klan [noun.person],,"Ku Kluxer, Kluxer"
klaproth,noun,German chemist who pioneered analytical chemistry and discovered three new elements (1743-1817) [noun.person],,Martin Heinrich Klaproth
klaus fuchs,noun,British physicist who was born in Germany and fled Nazi persecution [noun.person],in the 1940s he passed secret information to the USSR about the development of the atom bomb in the United States (1911-1988),"Fuchs, Emil Klaus Julius Fuchs"
klavern,noun,a local unit of the Ku Klux Klan [noun.group],,
klavier,noun,a stringed instrument that has a keyboard [noun.artifact],,clavier
klaxon,noun,a kind of loud horn formerly used on motor vehicles [noun.artifact],,claxon
klebs-loeffler bacillus,noun,a species of bacterium that causes diphtheria [noun.animal],,"Corynebacterium diphtheriae, C. diphtheriae"
klebsiella,noun,a genus of nonmotile rod-shaped Gram-negative enterobacteria [noun.animal],some cause respiratory and other infections,
klee,noun,Swiss painter influenced by Kandinsky (1879-1940) [noun.person],,Paul Klee
kleenex,noun,a piece of soft absorbent paper (usually two or more thin layers) used as a disposable handkerchief [noun.substance],,
klein,noun,German mathematician who created the Klein bottle (1849-1925) [noun.person] | United States psychoanalyst (born in Austria) who was the first to specialize in the psychoanalysis of small children (1882-1960) [noun.person] | United States fashion designer noted for understated fashions (born in 1942) [noun.person],,"Felix Klein, Melanie Klein, Calvin Klein, Calvin Richard Klein"
klein bottle,noun,a closed surface with only one side [noun.artifact],formed by passing one end of a tube through the side of the tube and joining it with the other end,
kleist,noun,German dramatist whose works concern people torn between reason and emotion (1777-1811) [noun.person],,"Heinrich von Kleist, Bernd Heinrich Wilhelm von Kleist"
klemens metternich,noun,Austrian statesman (1773-1859) [noun.person],,"Metternich, Prince Klemens Wenzel Nepomuk Lothar von Metternich"
kleptomania,noun,an irresistible impulse to steal in the absence of any economic motive [noun.motive],,
kleptomaniac,noun,someone with an irrational urge to steal in the absence of an economic motive [noun.person],,
klick,noun,a metric unit of length equal to 1000 meters (or 0.621371 miles) [noun.quantity],,"kilometer, kilometre, km"
klieg light,noun,carbon arc lamp that emits an intense light used in producing films [noun.artifact],,
klimt,noun,Austrian painter influenced by art nouveau (1862-1918) [noun.person],,Gustav Klimt
kline,noun,United States abstract expressionist painter (1910-1962) [noun.person],,"Franz Kline, Franz Joseph Kline"
klinefelter,noun,United States physician who first described the XXY-syndrome (born in 1912) [noun.person],,"Harry F. Klinefelter, Harry Fitch Kleinfelter"
klinefelter syndrome,noun,syndrome in males that is characterized by small testes and long legs and enlarged breasts and reduced sperm production and mental retardation [noun.state],a genetic defect in which an extra X chromosome (XXY) is present in the male,"Klinefelter's syndrome, XXY-syndrome"
klinefelter's syndrome,noun,syndrome in males that is characterized by small testes and long legs and enlarged breasts and reduced sperm production and mental retardation [noun.state],a genetic defect in which an extra X chromosome (XXY) is present in the male,"Klinefelter syndrome, XXY-syndrome"
klondike,noun,a region in northwestern Canada where gold was discovered in 1896 but exhausted by 1910 [noun.location] | a form of solitaire that begins with seven piles of cards with the top cards facing up [noun.act],descending sequences of cards of alternating colors are built on these piles | as aces become available they are placed above the seven piles | the object is to build sequences in suit from ace to king as the remaining cards are dealt out one at a time,
klopstock,noun,German poet (1724-1803) [noun.person],,Friedrich Gottlieb Klopstock
klorvess,noun,"salt of potassium (KCl) (trade names K-Dur 20, Kaochlor and K-lor and Klorvess and K-lyte) [noun.substance]",taken in tablet form to treat potassium deficiency,"potassium chloride, potassium muriate, potash muriate, K-Dur 20, Kaochlor, K-lor, K-lyte"
klotho,noun,the Greek goddess of fate who spins the thread of life [noun.person],,Clotho
kludge,noun,a badly assembled collection of parts hastily assembled to serve some particular purpose (often used to refer to computing systems or software that has been badly put together) [noun.group],,
klutz,noun,(Yiddish) a clumsy dolt [noun.person],,
kluxer,noun,a member of the Ku Klux Klan [noun.person],,"Klansman, Ku Kluxer"
klystron,noun,an electron tube used to generate or amplify electromagnetic radiation in the microwave region by velocity modulation [noun.artifact],,
klyuchevskaya,noun,an inactive volcano on the Kamchatka Peninsula [noun.location],last erupted in 1946,
km,noun,a metric unit of length equal to 1000 meters (or 0.621371 miles) [noun.quantity],,"kilometer, kilometre, klick"
km/h,noun,the ratio of the distance traveled (in kilometers) to the time spent traveling (in hours) [noun.time],,"kilometers per hour, kilometres per hour, kph"
knack,noun,a special way of doing something [noun.cognition],"he had a bent for it | he had a special knack for getting into trouble | he couldn't get the hang of it | ""he had a bent for it"" | ""he had a special knack for getting into trouble""","bent, hang"
knacker,noun,someone who buys old buildings or ships and breaks them up to recover the materials in them [noun.person] | someone who buys up old horses for slaughter [noun.person],,
knackwurst,noun,short thick highly seasoned sausage [noun.food],,knockwurst
knapsack,noun,a bag carried by a strap on your back or shoulder [noun.artifact],,"backpack, back pack, packsack, rucksack, haversack"
knapweed,noun,any of various plants of the genus Centaurea having purple thistlelike flowers [noun.plant],,
knave,noun,a deceitful and unreliable scoundrel [noun.person] | one of four face cards in a deck bearing a picture of a young prince [noun.artifact],,"rogue, rascal, rapscallion, scalawag, scallywag, varlet, jack"
knavery,noun,lack of honesty [noun.act],acts of lying or cheating or stealing,dishonesty
knawe,noun,widely distributed low-growing Eurasian herb having narrow leaves and inconspicuous green flowers [noun.plant],,"knawel, Scleranthus annuus"
knawel,noun,widely distributed low-growing Eurasian herb having narrow leaves and inconspicuous green flowers [noun.plant],,"knawe, Scleranthus annuus"
knee,noun,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella [noun.body] | joint between the femur and tibia in a quadruped [noun.animal] | the part of a trouser leg that provides the cloth covering for the knee [noun.artifact],corresponds to the human knee,"knee joint, human knee, articulatio genus, genu, stifle"
knee bend,noun,exercising by repeatedly assuming a crouching position with the knees bent [noun.act],strengthens the leg muscles,"squat, squatting"
knee brace,noun,a brace worn to strengthen the knee [noun.artifact],,
knee breeches,noun,trousers ending above the knee [noun.artifact],,"breeches, knee pants, knickerbockers, knickers"
knee jerk,noun,a reflex extension of the leg resulting from a sharp tap on the patellar tendon [noun.act],,"knee-jerk reflex, patellar reflex"
knee joint,noun,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella [noun.body],,"knee, human knee, articulatio genus, genu"
knee pad,noun,protective garment consisting of a pad worn by football or baseball or hockey players [noun.artifact],,
knee pants,noun,trousers ending above the knee [noun.artifact],,"breeches, knee breeches, knickerbockers, knickers"
knee piece,noun,armor plate that protects the knee [noun.artifact],,
knee-hi,noun,a sock or stocking that reaches up to just below the knees [noun.artifact],,knee-high
knee-high,noun,a sock or stocking that reaches up to just below the knees [noun.artifact],,knee-hi
knee-jerk reflex,noun,a reflex extension of the leg resulting from a sharp tap on the patellar tendon [noun.act],,"knee jerk, patellar reflex"
kneecap,noun,a small flat triangular bone in front of the knee that protects the knee joint [noun.body],,"patella, kneepan"
kneel,noun,supporting yourself on your knees [noun.act],,kneeling
kneeler,noun,a person in a kneeling position [noun.person] | a board (sometimes cushioned) for someone to kneel on [noun.artifact],,
kneeling,noun,supporting yourself on your knees [noun.act],,kneel
kneepan,noun,a small flat triangular bone in front of the knee that protects the knee joint [noun.body],,"patella, kneecap"
knell,noun,the sound of a bell rung slowly to announce a death or a funeral or the end of something [noun.event],,
knesset,noun,the Israeli unicameral parliament [noun.group],,Knesseth
knesseth,noun,the Israeli unicameral parliament [noun.group],,Knesset
knickerbockers,noun,trousers ending above the knee [noun.artifact],,"breeches, knee breeches, knee pants, knickers"
knickers,noun,trousers ending above the knee [noun.artifact] | underpants worn by women [noun.artifact],"she was afraid that her bloomers might have been showing | ""she was afraid that her bloomers might have been showing""","breeches, knee breeches, knee pants, knickerbockers, bloomers, pants, drawers"
knickknack,noun,a small inexpensive mass-produced article [noun.artifact] | miscellaneous curios [noun.artifact],,"novelty, bric-a-brac, nicknack, knickknackery, whatnot"
knickknackery,noun,miscellaneous curios [noun.artifact],,"bric-a-brac, knickknack, nicknack, whatnot"
knife,noun,edge tool used as a cutting instrument [noun.artifact] | a weapon with a handle and blade with a sharp point [noun.artifact] | any long thin projection that is transient [noun.shape],"has a pointed blade with a sharp edge and a handle | tongues of flame licked at the walls | rifles exploded quick knives of fire into the dark | ""tongues of flame licked at the walls"" | ""rifles exploded quick knives of fire into the dark""",tongue
knife blade,noun,the blade of a knife [noun.artifact],,
knife edge,noun,the sharp cutting side of the blade of a knife [noun.artifact],,cutting edge
knife fight,noun,fighting with knives [noun.act],,"snickersnee, cut-and-thrust"
knife pleat,noun,a single pleat turned in one direction [noun.artifact],,
knife thrust,noun,a strong blow with a knife or other sharp pointed instrument [noun.act],"one strong stab to the heart killed him | ""one strong stab to the heart killed him""","stab, thrust"
knife-edge,noun,a narrow boundary [noun.attribute],"he lived on a knife-edge between genius and insanity | ""he lived on a knife-edge between genius and insanity""",
knife-handle,noun,marine clam having a long narrow curved thin shell [noun.animal],,"razor clam, jackknife clam"
knight,noun,originally a person of noble birth trained to arms and chivalry [noun.person] | a chessman shaped to resemble the head of a horse [noun.artifact],today in Great Britain a person honored by the sovereign for personal merit | can move two squares horizontally and one vertically (or vice versa),horse
knight bachelor,noun,a knight of the lowest order [noun.person],could display only a pennon,"bachelor-at-arms, bachelor"
knight banneret,noun,a knight honored for valor [noun.person],entitled to display a square banner and to hold higher command,"knight of the square flag, banneret"
knight errantry,noun,quixotic (romantic and impractical) behavior [noun.attribute] | (Middle Ages) the code of conduct observed by a knight errant who is wandering in search of deeds of chivalry [noun.cognition],,quixotism
knight of the round table,noun,"in the Arthurian legend, a knight of King Arthur's court [noun.person]",,
knight of the square flag,noun,a knight honored for valor [noun.person],entitled to display a square banner and to hold higher command,"knight banneret, banneret"
knight templar,noun,a man who belongs to a Masonic order in the United States [noun.person] | a knight of a religious military order established in 1118 to protect pilgrims and the Holy Sepulcher [noun.person],,Templar
knight's service,noun,land tenure by service to the lord as a knight [noun.act],,
knight-errant,noun,a wandering knight travelling in search of adventure [noun.person],,
knighthood,noun,aristocrats holding the rank of knight [noun.group],,
knightia,noun,small genus of trees or shrubs of New Zealand and New Caledonia [noun.plant],,genus Knightia
knightliness,noun,the medieval principles governing knighthood and knightly conduct [noun.cognition],,chivalry
kniphofia,noun,a plant of the genus Kniphofia having long grasslike leaves and tall scapes of red or yellow drooping flowers [noun.plant],,"tritoma, flame flower, flame-flower, flameflower"
kniphofia praecox,noun,widely cultivated hybrid poker plant [noun.plant],,red-hot poker
kniphofia uvaria,noun,clump-forming plant of South Africa with spikes of scarlet flowers [noun.plant],,poker plant
knish,noun,(Yiddish) a baked or fried turnover filled with potato or meat or cheese [noun.food],often eaten as a snack,
knit,noun,a fabric made by knitting [noun.artifact] | a basic knitting stitch [noun.artifact] | needlework created by interlacing yarn in a series of connected loops using straight eyeless needles or by machine [noun.artifact],,"knit stitch, plain, plain stitch, knitting, knitwork"
knit stitch,noun,a basic knitting stitch [noun.artifact],,"knit, plain, plain stitch"
knitter,noun,someone who makes garments (or fabrics) by intertwining yarn or thread [noun.person],,
knitting,noun,needlework created by interlacing yarn in a series of connected loops using straight eyeless needles or by machine [noun.artifact] | creating knitted wear [noun.act],,"knit, knitwork"
knitting machine,noun,a textile machine that makes knitted fabrics [noun.artifact],,
knitting needle,noun,needle consisting of a slender rod with pointed ends [noun.artifact],usually used in pairs,
knitting stitch,noun,a stitch taken in knitting [noun.artifact],,
knitwear,noun,knitted clothing [noun.artifact],,
knitwork,noun,needlework created by interlacing yarn in a series of connected loops using straight eyeless needles or by machine [noun.artifact],,"knit, knitting"
knob,noun,a circular rounded projection or protuberance [noun.artifact] | a round handle [noun.artifact] | any thickened enlargement [noun.shape] | an ornament in the shape of a ball on the hilt of a sword or dagger [noun.artifact],,"boss, node, thickening, pommel"
knob celery,noun,grown for its thickened edible aromatic root [noun.plant],,"celeriac, celery root, root celery, turnip-rooted celery, Apium graveolens rapaceum"
knobble,noun,a small knob [noun.artifact],,
knobcone pine,noun,medium-sized three-needled pine of the Pacific coast of the United States having a prominent knob on each scale of the cone [noun.plant],,Pinus attenuata
knobkerrie,noun,a short wooden club with a heavy knob on one end [noun.artifact],used by aborigines in southern Africa,knobkerry
knobkerry,noun,a short wooden club with a heavy knob on one end [noun.artifact],used by aborigines in southern Africa,knobkerrie
knock,noun,the sound of knocking (as on a door or in an engine or bearing) [noun.event] | negative criticism [noun.cognition] | a vigorous blow [noun.event] | a bad experience [noun.event] | the act of hitting vigorously [noun.act],"the knocking grew louder | ""the knocking grew louder"" | the sudden knock floored him | he took a bash right in his face | he got a bang on the head","knocking, roast, bash, bang, smash, belt, rap, whack, whang"
knock on,noun,(rugby) knocking the ball forward while trying to catch it (a foul) [noun.act],,
knock rummy,noun,a form of rummy in which a player can go out if the cards remaining in their hand total less than 10 points [noun.act],,"gin, gin rummy"
knock-knee,noun,an inward slant of the thigh [noun.state],,"genu valgum, tibia valga"
knock-on effect,noun,a secondary or incidental effect [noun.phenomenon],,
knockabout,noun,a sloop with a simplified rig and no bowsprit [noun.artifact],,
knockdown,noun,a blow that knocks the opponent off his feet [noun.act],,
knocker,noun,(Yiddish) a big shot who knows it and acts that way [noun.person] | a person who knocks (as seeking to gain admittance) [noun.person] | one who disparages or belittles the worth of something [noun.person] | either of two soft fleshy milk-secreting glandular organs on the chest of a woman [noun.body] | a device (usually metal and ornamental) attached by a hinge to a door [noun.artifact],"a boastful immoderate person | open the door and see who the knocker is | ""open the door and see who the knocker is""","detractor, disparager, depreciator, breast, bosom, boob, tit, titty, doorknocker, rapper"
knocking,noun,the sound of knocking (as on a door or in an engine or bearing) [noun.event],"the knocking grew louder | ""the knocking grew louder""",knock
knockoff,noun,an unauthorized copy or imitation [noun.artifact],,clone
knockout,noun,a blow that renders the opponent unconscious [noun.act],,"KO, kayo"
knockout drops,noun,chloral hydrate in combination with alcohol [noun.artifact],usually administered surreptitiously to make the drinker unconscious,
knockout punch,noun,a hard punch that renders the opponent unable to continue boxing [noun.act],,"haymaker, KO punch, Sunday punch"
knockwurst,noun,short thick highly seasoned sausage [noun.food],,knackwurst
knoll,noun,a small natural hill [noun.object],,"mound, hillock, hummock, hammock"
knossos,noun,an ancient town on Crete where Bronze Age culture flourished from about 2000 BC to 1400 BC [noun.location],,"Cnossos, Cnossus"
knot,noun,a tight cluster of people or things [noun.group] | any of various fastenings formed by looping and tying a rope (or cord) upon itself or to another rope or to another object [noun.artifact] | a hard cross-grained round piece of wood in a board where a branch emerged [noun.substance] | something twisted and tight and swollen [noun.shape] | a unit of length used in navigation [noun.quantity] | soft lump or unevenness in a yarn [noun.attribute] | a sandpiper that breeds in the Arctic and winters in the southern hemisphere [noun.animal],"a small knot of women listened to his sermon | the bird had a knot of feathers forming a crest | ""a small knot of women listened to his sermon"" | ""the bird had a knot of feathers forming a crest"" | the saw buckled when it hit a knot","gnarl, nautical mile, mile, mi, naut mi, international nautical mile, air mile, slub, burl, greyback, grayback, Calidris canutus"
knotgrass,noun,low-growing weedy grass with spikelets along the leaf stems [noun.plant],,Paspalum distichum
knothole,noun,a hole in a board where a knot came out [noun.substance],,
knotted marjoram,noun,aromatic European plant native to Mediterranean and Turkey [noun.plant],not widespread in Europe,"sweet marjoram, Origanum majorana, Majorana hortensis"
knottiness,noun,puzzling complexity [noun.attribute],,"complicatedness, complication, tortuousness"
knotty pine,noun,pine lumber with many knots [noun.plant],used especially for paneling and furniture,
knout,noun,a whip with a lash of leather thongs twisted with wire [noun.artifact],used for flogging prisoners,
know,noun,the fact of being aware of information that is known to few people [noun.cognition],"he is always in the know | ""he is always in the know""",
know nothing,noun,an ignorant person [noun.person],,"ignoramus, uneducated person"
know-all,noun,someone who thinks he knows everything and refuses to accept advice or information from others [noun.person],,know-it-all
know-how,noun,the (technical) knowledge and skill required to do something [noun.cognition],,
know-it-all,noun,someone who thinks he knows everything and refuses to accept advice or information from others [noun.person],,know-all
know-nothing party,noun,a former political party in the United States [noun.group],active in the 1850s to keep power out of the hands of immigrants and Roman Catholics,American Party
knower,noun,a person who knows or apprehends [noun.person],,apprehender
knowing,noun,a clear and certain mental apprehension [noun.cognition],,
knowingness,noun,having knowledge of [noun.cognition] | shrewdness demonstrated by knowledge [noun.cognition],"he had no awareness of his mistakes | his sudden consciousness of the problem he faced | their intelligence and general knowingness was impressive | ""he had no awareness of his mistakes"" | ""his sudden consciousness of the problem he faced""","awareness, consciousness, cognizance, cognisance"
knowledge,noun,the psychological result of perception and learning and reasoning [noun.Tops],,"cognition, noesis"
knowledge base,noun,the content of a particular field of knowledge [noun.cognition],,"knowledge domain, domain"
knowledge domain,noun,the content of a particular field of knowledge [noun.cognition],,"knowledge base, domain"
knowledgeability,noun,wisdom as evidenced by the possession of knowledge [noun.attribute],"his knowledgeability impressed me | his dullness was due to lack of initiation | ""his knowledgeability impressed me"" | ""his dullness was due to lack of initiation""","knowledgeableness, initiation"
knowledgeableness,noun,wisdom as evidenced by the possession of knowledge [noun.attribute],"his knowledgeability impressed me | his dullness was due to lack of initiation | ""his knowledgeability impressed me"" | ""his dullness was due to lack of initiation""","knowledgeability, initiation"
knowlton's cactus,noun,small clustering cactus of southwestern United States [noun.plant],a threatened species,Pediocactus knowltonii
knox,noun,Scottish theologian who founded Presbyterianism in Scotland and wrote a history of the Reformation in Scotland (1514-1572) [noun.person],,John Knox
knoxville,noun,a city in eastern Tennessee on the Tennessee River [noun.location],,
knuckle,noun,a joint of a finger when the fist is closed [noun.body],,"knuckle joint, metacarpophalangeal joint"
knuckle duster,noun,a small metal weapon [noun.artifact],worn over the knuckles on the back of the hand,"brass knucks, knucks, brass knuckles, knuckles"
knuckle joint,noun,a joint of a finger when the fist is closed [noun.body] | a joint allowing movement in one plane only [noun.artifact],,"knuckle, metacarpophalangeal joint, hinge joint"
knuckleball,noun,a baseball pitch thrown with little speed or spin [noun.act],,knuckler
knucklebones,noun,a game in which jackstones are thrown and picked up in various groups between bounces of a small rubber ball [noun.act],,"jacks, jackstones"
knuckler,noun,a baseball pitch thrown with little speed or spin [noun.act],,knuckleball
knuckles,noun,a small metal weapon [noun.artifact],worn over the knuckles on the back of the hand,"brass knucks, knucks, brass knuckles, knuckle duster"
knucks,noun,a small metal weapon [noun.artifact],worn over the knuckles on the back of the hand,"brass knucks, brass knuckles, knuckles, knuckle duster"
knut,noun,king of Denmark and Norway who forced Edmund II to divide England with him [noun.person],"on the death of Edmund II, Canute became king of all England (994-1035)","Canute, Cnut, Canute the Great"
knut hamsun,noun,Norwegian writer of novels (1859-1952) [noun.person],,"Hamsun, Knut Pedersen"
knut pedersen,noun,Norwegian writer of novels (1859-1952) [noun.person],,"Hamsun, Knut Hamsun"
ko,noun,a blow that renders the opponent unconscious [noun.act],,"knockout, kayo"
ko punch,noun,a hard punch that renders the opponent unable to continue boxing [noun.act],,"haymaker, knockout punch, Sunday punch"
koala,noun,sluggish tailless Australian arboreal marsupial with grey furry ears and coat [noun.animal],feeds on eucalyptus leaves and bark,"koala bear, kangaroo bear, native bear, Phascolarctos cinereus"
koala bear,noun,sluggish tailless Australian arboreal marsupial with grey furry ears and coat [noun.animal],feeds on eucalyptus leaves and bark,"koala, kangaroo bear, native bear, Phascolarctos cinereus"
koan,noun,a paradoxical anecdote or a riddle that has no solution [noun.communication],used in Zen Buddhism to show the inadequacy of logical reasoning,
koasati,noun,a member of the Muskhogean people formerly living in northern Alabama [noun.person] | the Muskhogean language spoken by the Koasati [noun.communication],a member of the Creek Confederacy,
kob,noun,an orange-brown antelope of southeast Africa [noun.animal],,Kobus kob
kobe,noun,a port city in Japan on Osaka Bay in southern Honshu [noun.location],was damaged by an earthquake in 1995,
kobenhavn,noun,the capital and largest city of Denmark [noun.location],"Copenhagen is sometimes called the Paris of the North | located on the island of Zealand | ""Copenhagen is sometimes called the Paris of the North""","Copenhagen, Danish capital"
kobo,noun,100 kobos equal 1 naira in Nigeria [noun.quantity],,
kobuk valley national park,noun,a national park in Alaska having mountains and forests and tundra and sand dunes and archeological sites [noun.location],,
kobus,noun,African antelopes: waterbucks [noun.animal],,genus Kobus
kobus kob,noun,an orange-brown antelope of southeast Africa [noun.animal],,kob
kobus leche,noun,tawny-colored African antelope inhabiting wet grassy plains [noun.animal],a threatened species,lechwe
