headword,pos,definition,examples,synonyms
bhakti,noun,(Hinduism) loving devotion to a deity leading to salvation and nirvana [noun.act],open to all persons independent of caste or sex,
bhang,noun,a preparation of the leaves and flowers of the hemp plant [noun.artifact],much used in India,
bharat,noun,a republic in the Asian subcontinent in southern Asia [noun.location],second most populous country in the world | achieved independence from the United Kingdom in 1947,"India, Republic of India"
bhumi devi,noun,Hindu earth goddess [noun.person],one of the two wives of Vishnu,
bhutan,noun,a landlocked principality in the Himalayas to the northeast of India [noun.location],,Kingdom of Bhutan
bhutanese,noun,a native or inhabitant of Bhutan [noun.person],,Bhutani
bhutanese monetary unit,noun,monetary unit in Bhutan [noun.quantity],,
bhutani,noun,a native or inhabitant of Bhutan [noun.person],,Bhutanese
bi,noun,a heavy brittle diamagnetic trivalent metallic element (resembles arsenic and antimony chemically) [noun.substance],usually recovered as a by-product from ores of other metals,"bismuth, atomic number 83"
bi-fold door,noun,an interior door [noun.artifact],,
bialy,noun,flat crusty-bottomed onion roll [noun.food],,bialystoker
bialystoker,noun,flat crusty-bottomed onion roll [noun.food],,bialy
bias,noun,a partiality that prevents objective consideration of an issue or situation [noun.cognition] | a line or cut across a fabric that is not at right angles to a side of the fabric [noun.shape],,"prejudice, preconception, diagonal"
biauriculate heart,noun,a heart (as of mammals and birds and reptiles) having two auricles [noun.body],,
bib,noun,top part of an apron [noun.artifact] | a napkin tied under the chin of a child while eating [noun.artifact],covering the chest,
bib-and-tucker,noun,an attractive outfit [noun.artifact],"she wore her best bib-and-tucker | ""she wore her best bib-and-tucker""",
bibb lettuce,noun,lettuce with relatively crisp leaves [noun.food],,
bible,noun,the sacred writings of the Christian religions [noun.communication] | a book regarded as authoritative in its field [noun.communication],"he went to carry the Word to the heathen | ""he went to carry the Word to the heathen""","Christian Bible, Book, Good Book, Holy Scripture, Holy Writ, Scripture, Word of God, Word"
bible belt,noun,southern and midwestern United States where Protestant fundamentalism is dominant [noun.location],,
bible leaf,noun,tansy-scented Eurasian perennial herb with buttonlike yellow flowers [noun.plant],used as potherb or salad green and sometimes for potpourri or tea or flavoring | sometimes placed in genus Chrysanthemum,"costmary, alecost, mint geranium, balsam herb, Tanacetum balsamita, Chrysanthemum balsamita"
bible-worship,noun,the worship of the Bible [noun.act],,bibliolatry
biblical aramaic,noun,the form of Aramaic that was spoken in Palestine in the time of the New Testament [noun.communication],,
biblical latin,noun,the form of Latin written between the 3rd and 8th centuries [noun.communication],,Late Latin
bibliographer,noun,someone trained in compiling bibliographies [noun.person],,
bibliography,noun,a list of writings with time and place of publication (such as the writings of a single author or the works referred to in preparing a document etc.) [noun.communication],,
bibliolatry,noun,the worship of the Bible [noun.act],,Bible-worship
bibliomania,noun,preoccupation with the acquisition and possession of books [noun.attribute],,
bibliophile,noun,someone who loves (and usually collects) books [noun.person],,"booklover, book lover"
bibliopole,noun,a dealer in secondhand books (especially rare or curious books) [noun.person],,bibliopolist
bibliopolist,noun,a dealer in secondhand books (especially rare or curious books) [noun.person],,bibliopole
bibliothec,noun,a professional person trained in library science and engaged in library services [noun.person],,librarian
bibliotheca,noun,a collection of books [noun.group],,
bibliotics,noun,the scientific study of documents and handwriting etc. especially to determine authorship or authenticity [noun.cognition],,
bibliotist,noun,someone who engages in bibliotics [noun.person],,
bibos,noun,wild ox [noun.animal],,genus Bibos
bibos frontalis,noun,ox of southeast Asia sometimes considered a domesticated breed of the gaur [noun.animal],,"gayal, mithan"
bibos gaurus,noun,wild ox of mountainous areas of eastern India [noun.animal],,gaur
bicameral script,noun,a script having two distinct cases [noun.communication],,
bicarbonate,noun,a salt of carbonic acid (containing the anion HCO3) in which one hydrogen atom has been replaced [noun.substance],an acid carbonate,hydrogen carbonate
bicarbonate of soda,noun,a white soluble compound (NaHCO3) used in effervescent drinks and in baking powders and as an antacid [noun.substance],,"sodium hydrogen carbonate, sodium bicarbonate, baking soda, saleratus"
bicentenary,noun,the 200th anniversary (or the celebration of it) [noun.time],,bicentennial
bicentennial,noun,the 200th anniversary (or the celebration of it) [noun.time],,bicentenary
biceps,noun,any skeletal muscle having two origins (but especially the muscle that flexes the forearm) [noun.body],,
biceps brachii,noun,a muscle that flexes and supinates the forearm [noun.body],,"musculus biceps brachii, biceps humeri"
biceps humeri,noun,a muscle that flexes and supinates the forearm [noun.body],,"biceps brachii, musculus biceps brachii"
bichloride,noun,a compound containing two chlorine atoms per molecule [noun.substance],,dichloride
bichloride of mercury,noun,a white poisonous soluble crystalline sublimate of mercury [noun.substance],used as a pesticide or antiseptic or wood preservative,"mercuric chloride, mercury chloride, corrosive sublimate"
bichromate,noun,a salt of the hypothetical dichromic acid [noun.substance],,dichromate
bicker,noun,a quarrel about petty points [noun.communication],,"bickering, spat, tiff, squabble, pettifoggery, fuss"
bickering,noun,a quarrel about petty points [noun.communication],,"bicker, spat, tiff, squabble, pettifoggery, fuss"
bicolor lespediza,noun,Asian shrub having conspicuous racemose rose-purple flowers widely used as an ornamental and in erosion control and as a source of feed for wild birds [noun.plant],,"ezo-yama-hagi, Lespedeza bicolor"
bicorn,noun,a cocked hat with the brim turned up to form two points [noun.artifact],,bicorne
bicorne,noun,a cocked hat with the brim turned up to form two points [noun.artifact],,bicorn
bicuspid,noun,a tooth having two cusps or points [noun.body],located between the incisors and the molars,premolar
bicuspid valve,noun,valve with two cusps [noun.body],situated between the left atrium and the left ventricle,"mitral valve, left atrioventricular valve"
bicycle,noun,a wheeled vehicle that has two wheels and is moved by foot pedals [noun.artifact],,"bike, wheel, cycle"
bicycle chain,noun,a chain that transmits the power from the pedals to the rear wheel of a bicycle [noun.artifact],,
bicycle clip,noun,a clip worn around a cyclist's ankles that keeps trousers from becoming caught in the bicycle chain [noun.artifact],,trouser clip
bicycle pump,noun,a small pump that fills bicycle tires with air [noun.artifact],,
bicycle race,noun,a race between people riding bicycles [noun.event],,
bicycle rack,noun,a rack for parking bicycles [noun.artifact],,
bicycle seat,noun,a seat for the rider of a bicycle [noun.artifact],,saddle
bicycle traffic,noun,bicycles coming and going [noun.group],,
bicycle wheel,noun,the wheel of a bicycle [noun.artifact],,
bicycle-built-for-two,noun,a bicycle with two sets of pedals and two seats [noun.artifact],,"tandem bicycle, tandem"
bicycler,noun,a person who rides a bicycle [noun.person],,"cyclist, bicyclist, wheeler"
bicycling,noun,riding a bicycle [noun.act],,
bicyclist,noun,a person who rides a bicycle [noun.person],,"cyclist, bicycler, wheeler"
bid,noun,an authoritative direction or instruction to do something [noun.communication] | an attempt to get something [noun.act] | a formal proposal to buy at a specified price [noun.communication] | (bridge) the number of tricks a bridge player is willing to contract to make [noun.communication],"they made a futile play for power | he made a bid to gain attention | ""they made a futile play for power"" | ""he made a bid to gain attention""","command, bidding, dictation, play, tender"
bid price,noun,(stock market) the price at which a broker is willing to buy a certain security [noun.possession],,
bida,noun,the capital and chief port of Qatar [noun.location],,"Doha, El Beda, capital of Qatar"
bidder,noun,someone who makes an offer [noun.person] | someone who makes a bid at cards [noun.person],,
bidding,noun,an authoritative direction or instruction to do something [noun.communication] | a request to be present [noun.communication] | (bridge) the number of tricks a bridge player is willing to contract to make [noun.communication],"they came at his bidding | ""they came at his bidding""","command, bid, dictation, summons"
bidding contest,noun,a series of competing bids [noun.act],,
biddy,noun,adult female chicken [noun.animal] | young bird especially of domestic fowl [noun.animal],,"hen, chick"
bidens,noun,bur marigolds [noun.plant],,genus Bidens
bidens bipinnata,noun,common bur marigold of the eastern United States [noun.plant],,Spanish needles
bidens connata,noun,bur marigold of eastern and northern United States and Canada common in wet pastures and meadows [noun.plant],,swampy beggar-ticks
bidens coronata,noun,North American bur marigold with large flowers [noun.plant],,"tickseed sunflower, Bidens trichosperma"
bidens trichosperma,noun,North American bur marigold with large flowers [noun.plant],,"tickseed sunflower, Bidens coronata"
bidens tripartita,noun,bur marigold of temperate Eurasia [noun.plant],,"European beggar-ticks, trifid beggar-ticks, trifid bur marigold"
bidet,noun,a basin for washing genitals and anal area [noun.artifact],,
biennial,noun,(botany) a plant having a life cycle that normally takes two seasons from germination to death to complete [noun.plant],flowering biennials usually bloom and fruit in the second season,
bier,noun,a coffin along with its stand [noun.artifact] | a stand to support a corpse or a coffin prior to burial [noun.artifact],"we followed the bier to the graveyard | ""we followed the bier to the graveyard""",
bierce,noun,United States writer of caustic wit (1842-1914) [noun.person],,"Ambrose Bierce, Ambrose Gwinett Bierce"
biff,noun,(boxing) a blow with the fist [noun.act],"I gave him a clout on his nose | ""I gave him a clout on his nose""","punch, clout, poke, lick, slug"
bifocals,noun,"eyeglasses having two focal lengths, one for near vision and the other for far vision [noun.artifact]",,
bifurcation,noun,a bifurcating branch (one or both of them) [noun.shape] | the place where something divides into two branches [noun.shape] | the act of splitting into two branches [noun.act],,
big band,noun,a large dance or jazz band usually featuring improvised solos by lead musicians [noun.group],,
big bang,noun,(cosmology) the cosmic explosion that is hypothesized to have marked the origin of the universe [noun.event],,
big bang theory,noun,(cosmology) the theory that the universe originated sometime between 10 billion and 20 billion years ago from the cataclysmic explosion of a small volume of matter at extremely high density and temperature [noun.cognition],,big-bang theory
big bedbug,noun,large bloodsucking bug [noun.animal],,"conenose, cone-nosed bug, conenose bug, kissing bug"
big ben,noun,"clock in the clock tower of the Houses of Parliament, London [noun.artifact]",,
big bend,noun,a triangular area in southwestern Texas on the Mexican border [noun.location],formed by a bend in the Rio Grande,
